Num,Ref.,Valeur,Atelier,Magistrat,Date,Droit,Inscription droit,Revers,Inscription revers
num1,"RRC 149/1a et 149/1b, Grueber p. 97",As,Rome,L. Mamilius,-189 à -180,Tête de Janus laurée,I,"Ulysse s'appuyant sur un bâton, sur une proue de navire","ROMA, I, L. MAMILI, "
num2,"RRC 149/2a, b, c",Semis,Rome,L. Mamilius,-189 à -180,Tête de Saturne laurée,I,"Ulysse s'appuyant sur un bâton, sur une proue de navire","ROMA, I, L. MAMILI, "
num3,"RRC 149/3a, b",Triens,Rome,L. Mamilius,-189 à -180,Tête de Minerve casquée,I,"Ulysse s'appuyant sur un bâton, sur une proue de navire","ROMA, I, L. MAMILI, "
num4,"RRC 149/4a, b",Quadrans,Rome,L. Mamilius,-189 à -180,Tête d'Hercule,I,"Ulysse s'appuyant sur un bâton, sur une proue de navire","ROMA, I, L. MAMILI, "
num5,RRC 149/5a,Sextans,Rome,L. Mamilius,-189 à -180,Tête de Mercure,I,"Ulysse s'appuyant sur un bâton, sur une proue de navire","ROMA, I, L. MAMILI, "
num6,"RRC 362/1, Grueber p. 343",Denier,Rome,C. Mamilius Limetanus,-82,"Tête de Mercure, caducée",A,"Ulysse allant vers la droite, Argos",C. MAMILIUS LIMETAN.
num7,"RRC 458/1, Grueber p. 469",Denier,Afrique,C. Julius Caesar,-47,Tête de Vénus au diadème et collier,,Énée allant vers la gauche et portant Anchise et Palladium,CAESAR
num8,"RRC 511/2a, b, c, Grueber p. 562",Denier,Sicile,Sextus Pompée,-42 à -40,Tête de Neptune diadémée,MAG. PIUS. IMP. ITER,"Trophée naval : ancre, trident, proue, aplustre, têtes de Charybde et Scylla",PRAEF. CLAS. ET ORAE MARIT. EX S. C. 
num9,"RRC 511/4a, b, c, d, Grueber p. 563",Denier,Sicile,Sextus Pompée,-42 à -40,"Neptune sur le phare de Messine, tenant un trident, pied sur une proue, navire en bas, aigle à l'avant et sceptre à l'arrière",MAG. PIUS. IMP. ITER,Scylla au gouvernail,PRAEF. CLAS. ET ORAE MARIT. EX S. C. 
num10,"RRC 494, Grueber p. 579",Aureus,Rome,L. Regulus,-42,Tête d'Octavien,C. CAESAR IIIVIR R. P. C.,Énée allant vers la droite et portant Anchise,L. REGULUS IIIVIR A. P. F.
num11,"Carson BMC 27, Giard n°168, Grueber p. 66.",Denier,Rome,P. Petronius Turpilianus,-19,Tête d'Auguste,CAESAR AVGVSTVS,Sirène à double flûte,P. PETRON. TVRPILIAN. IIIVIR
num12,RIC I 198,Aureus,Lyon,Auguste,-8,Tête d'Auguste laurée,AUGUSTUS DIVI F.,"Caïus à cheval, lusus troianus, aigle et enseignes","C. CAES., AUGUSTUS"
